ArrivalDelay;AirTime;DepartureDelay;Distance;TaxiIn;TaxiOut;MidOfWeekFlag
41;71;56;509;32;10;0
-10;71;-2;527;43;9;0
37;71;39;521;47;18;0
43;69;51;527;30;13;0
73;288;74;2285;83;25;0
5;108;12;812;47;13;0
29;150;45;1126;47;9;0
69;144;82;1142;21;16;0
-14;152;-1;1138;76;7;0
-3;206;5;1674;46;14;0
-3;201;4;1604;27;18;0
16;205;32;1646;37;12;0
108;208;113;1632;18;26;0
25;199;24;1620;30;30;0
-4;102;3;572;64;10;0
57;86;68;568;45;24;0
23;261;34;2025;32;9;0
5;59;0;267;35;13;0
20;78;3;257;80;10;0
47;60;32;283;40;25;0
-3;55;-2;263;85;9;0
83;63;80;255;19;10;0
31;54;34;265;23;10;0
6;59;7;259;23;7;0
17;75;7;273;26;10;0
1;61;0;261;28;10;0
32;58;23;257;41;30;0
9;58;8;281;52;14;0
36;62;33;265;22;14;0
14;63;3;255;15;17;0
3;276;14;2160;64;8;0
46;267;52;2146;47;21;0
-11;279;3;2160;34;9;0
-11;237;0;1859;48;14;0
23;228;30;1822;62;20;0
19;232;24;1828;46;19;0
-14;99;-4;669;38;9;0
-7;94;-4;661;40;18;0
18;89;27;653;46;16;0
11;99;22;663;33;11;0
27;95;38;671;58;10;0
-2;101;2;673;22;16;0
62;100;63;665;43;29;0
17;83;21;616;20;17;0
-3;87;5;630;50;12;0
-8;132;15;848;33;10;0
0;127;16;842;17;18;0
9;168;22;1269;66;13;0
3;171;17;1281;20;13;0
20;168;32;1297;25;14;0
94;167;100;1279;33;14;0
6;265;19;2120;25;12;0
20;207;36;1649;46;11;0
51;319;45;2315;43;13;0
70;63;37;264;42;42;0
89;68;32;280;31;31;0
100;68;79;270;56;20;0
3;56;-1;276;21;11;0
21;64;4;288;21;11;0
22;70;0;282;21;17;0
5;62;-4;272;34;10;0
20;63;3;268;57;21;0
3;56;0;272;34;17;0
33;59;27;250;23;23;0
89;64;87;266;66;17;0
20;62;9;274;22;16;0
20;66;-1;278;47;20;0
50;105;66;831;29;12;0
11;169;19;1333;29;16;0
9;113;15;836;29;13;0
60;170;71;1182;57;9;0
17;152;38;1192;39;8;0
54;161;65;1180;33;12;0
19;156;33;1192;24;13;0
-14;154;-1;1178;31;11;0
-11;160;0;1166;42;13;0
16;261;36;2081;19;10;0
-1;207;6;1559;33;18;0
-3;212;-1;1565;71;14;0
7;201;22;1561;86;6;0
-14;206;2;1565;37;13;0
-6;200;7;1569;46;10;0
-3;201;4;1551;23;13;0
22;202;33;1539;69;19;0
59;216;57;1569;67;13;0
21;204;26;1557;40;13;0
3;202;10;1563;47;12;0
21;205;44;1561;42;8;0
11;299;8;2412;33;28;0
-3;197;1;1531;30;17;0
3;192;14;1543;22;13;0
22;98;8;463;49;16;0
26;86;30;443;40;10;0
3;86;7;439;34;10;0
28;87;12;429;60;17;0
63;86;39;433;26;11;0
9;95;-4;445;13;18;0
10;89;6;475;27;13;0
81;91;81;445;19;11;0
7;86;-1;475;42;12;0
6;97;1;457;16;8;0
20;85;21;449;33;11;0
94;91;91;435;36;16;0
6;94;0;455;44;11;0
14;137;17;1027;37;15;0
4;154;16;1147;43;10;0
4;145;18;1117;28;12;0
-3;155;6;1149;30;11;0
3;43;0;257;33;16;0
0;47;0;245;29;9;0
-6;40;0;241;56;8;0
13;40;5;269;20;26;0
6;45;5;235;24;14;0
35;48;30;257;47;10;0
1;41;6;223;40;10;0
1;39;3;223;43;15;0
9;45;7;247;33;13;0
31;44;35;229;63;10;0
72;276;76;2201;38;27;0
22;129;20;774;37;25;0
-16;129;2;782;33;9;0
49;124;73;786;43;11;0
26;129;37;798;19;12;0
-8;285;17;2206;62;9;0
18;281;42;2206;51;11;0
-7;51;0;294;44;9;0
-11;52;-3;282;35;9;0
-5;53;2;260;41;11;0
80;53;87;290;49;10;0
29;55;23;304;33;25;0
18;51;22;274;26;11;0
2;53;9;300;42;14;0
20;53;23;294;32;12;0
5;52;6;298;28;19;0
2;53;-3;284;50;14;0
-3;51;-5;298;43;12;0
26;49;30;296;42;9;0
-5;52;-2;306;27;9;0
42;53;43;304;54;15;0
15;52;22;278;52;10;0
31;53;32;288;37;24;0
-6;54;-4;284;49;10;0
1;51;2;284;41;13;0
80;244;95;1964;68;16;0
1;244;18;1948;52;10;0
56;315;46;2419;40;25;0
10;267;10;2059;57;25;0
17;259;35;2055;27;11;0
3;84;-2;387;13;9;0
12;74;13;379;39;11;0
0;70;-2;363;40;10;0
52;75;50;365;25;8;0
75;67;77;373;19;13;0
3;75;1;377;23;9;0
12;79;-4;395;30;22;0
13;72;13;379;37;15;0
17;75;19;391;27;9;0
11;77;9;395;30;13;0
1;54;0;288;40;16;0
16;54;14;314;108;15;0
26;55;23;288;64;13;0
-5;51;-3;314;37;9;0
3;60;2;300;40;13;0
1;55;1;276;83;15;0
9;56;7;286;34;11;0
34;52;28;294;49;21;0
45;61;41;300;34;12;0
20;54;9;294;44;28;0
21;53;23;292;16;9;0
39;55;39;298;45;12;0
-5;51;-4;298;37;11;0
0;54;4;320;46;11;0
11;146;20;1105;37;16;0
14;138;32;1115;19;8;0
6;152;14;1109;29;8;0
82;145;88;1119;34;19;0
59;213;72;1680;81;14;0
12;153;10;910;23;31;0
3;141;17;912;25;16;0
-24;141;2;912;40;8;0
3;143;24;896;30;8;0
60;92;62;438;25;12;0
89;95;86;438;44;15;0
5;101;-4;442;52;12;0
70;94;67;432;25;14;0
18;99;-1;434;32;16;0
8;85;-4;430;15;15;0
99;83;82;428;52;16;0
54;81;49;446;38;13;0
24;85;-1;440;21;10;0
34;86;32;448;17;11;0
93;90;75;438;67;16;0
30;125;-3;430;46;9;0
99;84;102;414;25;12;0
14;69;21;440;23;12;0
3;64;9;420;20;10;0
3;68;7;414;32;13;0
41;63;47;394;100;10;0
75;64;80;396;43;26;0
8;70;15;416;54;8;0
65;64;77;414;44;8;0
-9;64;0;406;49;10;0
20;84;14;429;12;13;0
32;82;30;419;32;20;0
50;82;41;441;56;22;0
21;87;23;441;51;15;0
16;85;18;435;49;10;0
50;82;38;445;22;9;0
15;52;-1;278;34;15;0
-3;53;1;260;58;10;0
39;53;32;260;32;23;0
13;48;11;282;38;17;0
3;54;-1;272;26;18;0
4;46;-3;262;36;12;0
31;184;44;1396;43;14;0
54;178;66;1422;63;22;0
25;191;20;1430;17;18;0
15;255;29;2040;22;9;0
101;145;115;1116;47;12;0
54;59;64;405;57;12;0
54;61;53;405;43;22;0
-8;61;-1;423;37;10;0
52;62;53;417;65;21;0
99;61;108;397;39;9;0
14;61;18;387;30;14;0
56;69;70;527;18;9;1
0;68;6;519;13;13;1
29;69;18;539;65;40;1
36;68;47;529;22;11;1
25;69;33;543;41;12;1
52;285;67;2277;25;11;1
66;100;60;810;62;40;1
19;147;0;1124;21;49;1
-9;150;3;1126;62;13;1
36;148;51;1136;42;7;1
-9;206;1;1658;31;12;1
22;210;8;1628;27;38;1
29;205;46;1600;17;10;1
66;199;88;1644;57;8;1
4;85;19;554;47;18;1
21;85;23;558;79;13;1
43;260;54;2021;25;11;1
2;58;-3;245;40;13;1
11;59;11;259;37;8;1
31;56;33;271;27;9;1
64;56;68;271;68;8;1
12;61;1;253;68;20;1
49;56;41;291;16;26;1
26;56;1;257;46;44;1
2;59;7;269;15;11;1
11;59;1;261;35;24;1
51;59;26;263;19;42;1
31;64;23;257;100;12;1
17;276;10;2142;11;35;1
-3;278;3;2142;34;11;1
43;269;56;2122;66;10;1
10;261;10;1873;28;10;1
38;225;53;1804;55;13;1
28;238;17;1824;40;33;1
26;91;36;685;33;11;1
34;89;44;673;49;16;1
66;85;89;659;39;12;1
19;112;19;671;62;9;1
59;90;78;659;20;13;1
25;106;39;665;21;9;1
41;86;49;632;46;11;1
9;87;14;612;28;15;1
31;139;47;836;77;14;1
45;132;67;860;34;10;1
-2;178;3;1265;78;16;1
66;168;77;1259;30;8;1
43;171;58;1261;19;11;1
-8;178;1;1281;36;7;1
24;263;38;2082;38;13;1
116;209;137;1617;54;9;1
49;210;51;1635;35;25;1
60;306;62;2315;32;16;1
31;59;28;280;40;13;1
15;56;16;266;45;10;1
56;55;55;276;82;12;1
20;60;15;278;71;10;1
2;53;1;286;16;10;1
31;55;0;280;19;48;1
5;54;4;278;71;14;1
20;55;10;280;49;30;1
58;55;63;266;52;9;1
22;54;14;308;34;24;1
3;105;12;805;36;16;1
6;171;2;1317;60;16;1
82;114;63;852;19;45;1
51;164;33;1178;24;47;1
37;153;60;1174;40;10;1
33;153;53;1184;23;8;1
-8;166;2;1180;52;7;1
53;160;64;1162;41;17;1
28;268;14;2085;20;39;1
-9;202;7;1571;26;11;1
-2;220;3;1571;21;10;1
-4;212;0;1531;61;13;1
4;208;14;1587;48;16;1
22;193;45;1551;72;13;1
47;215;32;1561;64;41;1
9;210;15;1557;29;16;1
66;193;95;1573;10;10;1
42;204;51;1553;42;10;1
53;210;61;1585;22;8;1
49;210;67;1563;30;10;1
10;297;28;2396;67;10;1
3;192;6;1531;71;20;1
40;197;52;1537;9;9;1
0;94;-6;439;62;11;1
23;85;15;451;32;17;1
20;82;1;449;25;30;1
50;90;49;457;67;11;1
7;95;2;435;47;9;1
29;110;3;447;18;20;1
14;89;19;457;66;11;1
37;97;22;437;67;20;1
86;85;80;469;17;10;1
18;90;21;457;48;10;1
25;98;7;449;36;23;1
25;77;34;451;16;8;1
33;127;29;1019;32;34;1
54;155;65;1143;32;8;1
68;163;77;1169;20;10;1
0;169;1;1141;33;10;1
9;48;8;253;57;11;1
-2;45;-2;245;21;12;1
44;45;26;235;33;34;1
26;44;29;223;54;10;1
25;46;25;233;28;11;1
9;46;0;247;16;21;1
-2;44;0;237;36;11;1
16;46;20;265;101;8;1
26;48;21;233;41;17;1
20;135;31;812;38;9;1
6;135;14;802;37;16;1
26;130;9;798;69;46;1
31;288;46;2224;28;15;1
29;52;14;292;42;36;1
-12;51;-2;288;57;9;1
9;53;16;288;34;11;1
49;52;41;290;39;29;1
14;52;16;292;44;13;1
31;54;16;294;32;34;1
17;52;22;288;76;12;1
30;51;35;318;32;7;1
9;51;14;304;26;16;1
9;52;13;294;61;9;1
15;52;1;274;33;33;1
-3;51;3;330;23;9;1
9;49;17;290;28;17;1
9;49;14;312;30;10;1
31;49;39;260;33;11;1
27;256;33;1950;48;10;1
14;255;10;1966;45;23;1
37;302;43;2421;55;17;1
12;263;24;2057;43;13;1
22;260;44;2079;69;9;1
40;71;47;389;31;9;1
15;69;20;361;26;11;1
110;70;117;397;18;10;1
39;72;42;397;38;9;1
1;68;2;379;17;10;1
91;74;98;401;74;15;1
36;74;24;395;24;26;1
39;70;23;286;44;18;1
48;70;5;308;80;51;1
79;79;63;296;12;15;1
36;91;5;314;45;19;1
82;58;83;276;19;10;1
16;63;5;298;59;15;1
3;64;2;306;44;9;1
13;55;12;276;33;10;1
45;70;33;314;54;14;1
27;61;22;298;37;11;1
47;56;44;312;86;10;1
36;79;19;284;33;13;1
13;146;23;1113;14;10;1
3;148;3;1115;18;19;1
-4;144;5;1087;59;12;1
31;208;50;1668;34;10;1
20;160;15;910;44;24;1
-9;152;4;900;32;13;1
3;145;13;910;65;12;1
82;90;89;452;92;10;1
30;108;9;446;37;22;1
55;107;50;444;58;7;1
100;99;99;454;45;9;1
66;92;50;460;22;34;1
54;78;25;408;38;49;1
34;85;33;412;49;9;1
33;92;23;446;27;12;1
0;84;-1;398;28;9;1
14;91;6;432;35;10;1
86;85;86;422;23;13;1
26;63;27;420;29;17;1
6;61;14;406;50;10;1
72;63;86;378;32;7;1
21;69;14;396;19;19;1
17;63;30;412;33;14;1
6;63;6;406;45;20;1
36;79;33;431;16;15;1
42;79;50;417;66;9;1
53;81;32;423;21;10;1
17;79;20;435;35;14;1
11;84;9;447;71;15;1
33;83;27;443;75;26;1
14;51;11;274;37;14;1
22;52;5;278;33;37;1
25;54;24;272;50;10;1
9;53;7;240;58;9;1
4;54;3;276;51;12;1
2;186;10;1412;42;16;1
73;183;82;1404;37;13;1
24;254;38;2034;25;10;1
11;148;11;1118;109;19;1
35;67;33;425;49;19;1
7;64;12;411;70;11;1
90;62;103;405;48;11;1
85;60;94;409;36;11;1
22;84;19;541;46;13;1
-6;70;-1;537;57;16;1
54;69;58;515;57;14;1
-9;69;0;531;33;10;1
19;75;12;513;32;31;1
30;72;30;527;34;21;1
53;70;66;497;36;9;1
30;277;36;2275;24;26;1
19;102;7;786;24;40;1
9;146;18;1136;34;20;1
17;154;27;1100;35;13;1
65;146;77;1134;20;14;1
21;283;25;2336;33;30;1
-11;208;-1;1644;37;9;1
3;217;5;1618;45;10;1
17;206;14;1630;15;29;1
9;205;23;1628;60;12;1
28;201;45;1616;64;9;1
-13;89;4;532;30;11;1
21;92;30;566;32;19;1
19;247;23;2023;77;28;1
3;53;7;271;25;8;1
29;63;25;249;40;8;1
51;58;42;255;35;20;1
-4;58;-5;253;25;8;1
100;60;100;277;29;13;1
10;58;8;261;72;11;1
1;59;1;273;30;12;1
14;59;10;271;40;18;1
21;60;14;255;37;21;1
3;55;1;257;21;22;1
-4;58;0;271;42;8;1
40;61;23;259;27;31;1
15;53;15;269;67;12;1
-15;267;2;2142;29;10;1
42;258;52;2150;64;20;1
-2;269;-3;2136;43;33;1
-11;231;5;1875;57;15;1
79;214;113;1816;50;9;1
22;228;14;1810;25;37;1
-13;100;-2;669;23;10;1
-3;92;2;671;38;19;1
38;90;50;679;66;11;1
-9;90;3;665;37;13;1
82;92;91;661;61;14;1
22;94;24;683;23;21;1
31;95;36;687;48;25;1
67;82;69;618;28;22;1
6;89;13;620;28;12;1
17;137;37;846;25;12;1
11;135;24;818;58;14;1
27;166;36;1271;39;20;1
18;175;9;1291;44;33;1
0;181;1;1281;32;9;1
53;174;55;1277;38;11;1
-3;258;10;2102;58;14;1
34;204;54;1641;24;9;1
-4;199;9;1629;43;20;1
20;285;42;2327;60;10;1
54;53;48;276;44;20;1
74;67;68;290;43;11;1
61;58;53;288;91;21;1
9;52;11;286;103;13;1
16;53;-2;288;51;33;1
2;53;3;258;50;9;1
13;51;14;266;54;15;1
-3;52;0;274;46;8;1
22;56;3;274;18;37;1
74;97;23;274;25;40;1
11;55;12;282;90;17;1
111;54;111;272;17;18;1
16;104;29;811;80;14;1
-4;181;-3;1339;61;11;1
57;115;45;854;21;33;1
25;153;14;1200;75;46;1
-14;147;8;1212;48;8;1
32;147;53;1168;68;10;1
12;150;32;1184;17;14;1
-17;154;-2;1164;61;9;1
-25;147;-4;1178;43;12;1
5;194;23;1583;42;15;1
-27;190;-4;1553;49;9;1
9;204;18;1545;78;17;1
31;201;49;1583;21;12;1
4;198;11;1543;30;28;1
-5;190;14;1559;32;19;1
65;196;87;1559;43;15;1
32;193;48;1557;33;13;1
26;193;42;1567;40;12;1
11;197;27;1553;11;9;1
19;199;41;1561;25;12;1
21;293;22;2418;24;32;1
-2;197;0;1539;18;19;1
33;198;44;1553;22;10;1
4;86;0;461;40;16;1
-2;81;-1;465;46;10;1
0;85;6;439;28;11;1
11;86;9;447;13;19;1
33;89;16;451;32;41;1
32;90;29;445;28;14;1
-6;82;-3;449;29;9;1
22;89;19;439;82;11;1
46;81;49;461;55;11;1
3;93;-2;451;27;14;1
3;83;0;465;71;15;1
25;79;29;455;54;12;1
99;81;101;449;50;17;1
2;85;1;459;9;12;1
2;128;0;1009;36;27;1
3;145;14;1133;76;14;1
24;147;35;1105;65;18;1
49;43;39;247;61;27;1
14;43;19;219;30;10;1
30;43;32;231;33;11;1
9;41;14;237;67;11;1
14;45;12;233;52;15;1
17;45;14;245;42;12;1
33;43;9;221;26;43;1
28;39;32;231;32;14;1
-4;41;-2;251;37;12;1
26;269;32;2181;36;26;1
45;141;43;814;44;19;1
-13;132;3;814;34;10;1
-3;131;1;810;27;23;1
14;136;22;806;20;11;1
-26;274;1;2202;32;14;1
105;273;136;2220;11;12;1
-2;52;-1;282;95;12;1
-2;52;-5;290;8;22;1
15;49;17;304;124;16;1
54;51;66;280;62;11;1
13;51;1;308;67;35;1
37;54;26;290;47;28;1
14;51;20;304;40;16;1
13;53;-5;290;24;32;1
9;52;11;288;35;11;1
-9;53;-5;300;44;9;1
36;54;33;302;18;17;1
20;48;27;296;54;13;1
20;53;20;300;88;24;1
10;56;3;292;41;20;1
30;56;23;312;65;19;1
21;244;23;1940;42;25;1
-11;235;11;1940;67;10;1
26;294;35;2391;34;20;1
9;256;12;2049;47;25;1
39;254;49;2063;46;26;1
46;70;47;383;45;17;1
11;69;12;371;20;15;1
6;67;13;379;31;9;1
51;71;42;391;30;26;1
54;71;51;381;45;20;1
4;68;4;377;56;12;1
19;68;17;369;8;14;1
56;77;45;393;40;19;1
1;68;3;387;62;19;1
14;68;9;405;19;23;1
8;71;13;393;35;10;1
14;69;12;383;31;18;1
5;56;4;298;23;14;1
31;66;8;296;25;32;1
101;72;89;300;24;12;1
4;59;0;302;46;10;1
10;53;13;296;60;19;1
5;63;1;304;48;13;1
3;52;2;284;25;13;1
26;53;23;282;43;14;1
38;76;14;292;26;14;1
20;55;8;300;42;14;1
18;53;18;296;55;13;1
26;68;14;312;51;13;1
3;56;0;298;16;12;1
14;69;2;292;39;17;1
19;147;25;1099;33;17;1
9;145;18;1105;96;11;1
20;150;22;1097;25;17;1
-9;146;0;1119;52;10;1
68;206;91;1654;48;9;1
35;156;38;886;27;24;1
-16;147;0;894;48;8;1
-21;153;-5;920;27;9;1
-1;152;-1;920;18;23;1
117;83;111;440;64;14;1
-8;84;-3;452;44;10;1
60;100;46;452;11;23;1
75;78;89;450;24;10;1
-12;81;-5;448;48;11;1
37;84;46;458;50;8;1
20;84;-2;442;40;41;1
44;79;42;436;38;16;1
43;78;41;424;56;10;1
10;77;16;400;65;7;1
76;83;73;430;36;10;1
31;83;29;404;65;11;1
15;81;4;446;48;26;1
9;82;14;422;34;7;1
34;79;32;416;34;17;1
65;68;50;410;20;36;1
36;61;47;416;38;9;1
-6;61;-6;406;60;10;1
27;61;34;434;37;11;1
24;62;36;416;66;15;1
15;63;21;410;35;15;1
71;60;79;410;43;16;1
-16;62;-5;422;40;8;1
-3;78;-1;441;22;10;1
72;79;80;433;90;14;1
59;77;57;421;51;20;1
-1;81;-1;425;40;11;1
0;78;7;421;38;9;1
-2;78;4;433;10;16;1
-5;77;1;429;63;11;1
35;81;35;411;24;13;1
14;56;12;260;40;10;1
7;52;1;272;43;23;1
24;59;27;260;23;8;1
-3;53;-4;274;44;10;1
14;52;6;272;58;21;1
14;51;18;262;46;12;1
14;176;23;1422;32;24;1
33;173;56;1402;82;14;1
23;176;32;1420;30;16;1
24;256;27;2002;63;22;1
14;144;18;1104;22;19;1
38;61;47;415;72;11;1
14;61;14;399;54;19;1
52;62;44;403;31;30;1
-7;63;-5;399;32;14;1
49;66;51;383;46;16;1
37;61;41;395;55;12;1
5;69;-5;535;19;30;0
2;74;0;517;34;19;0
-13;69;-6;507;52;8;0
-7;70;-3;515;42;20;0
-10;71;-3;537;41;11;0
29;68;25;523;23;28;0
-7;68;-4;527;17;16;0
20;283;35;2277;58;11;0
-7;102;-3;796;70;22;0
-8;147;-6;1126;68;26;0
-9;146;3;1130;29;10;0
-18;146;-3;1124;58;12;0
4;291;12;2328;59;19;0
8;209;13;1628;15;14;0
-9;205;1;1630;32;10;0
-4;204;-2;1636;46;25;0
-8;206;-4;1640;44;20;0
-2;210;0;1608;36;16;0
8;113;0;558;33;19;0
40;100;36;564;34;26;0
6;255;16;2031;30;11;0
-3;52;2;271;37;7;0
-5;52;-2;277;39;9;0
36;58;27;269;49;15;0
-3;52;-2;249;46;10;0
3;49;5;273;47;12;0
2;52;0;241;45;15;0
31;53;31;273;58;16;0
9;53;13;269;35;11;0
27;53;32;283;60;10;0
18;51;23;297;102;17;0
-3;52;-5;259;32;17;0
12;52;5;261;47;24;0
10;53;-1;253;59;21;0
-17;271;-6;2134;124;12;0
-9;263;4;2150;43;12;0
-8;273;-5;2150;60;25;0
-12;233;-2;1859;38;20;0
8;224;24;1812;73;14;0
-9;224;-1;1828;57;21;0
-13;93;-1;675;43;16;0
-2;92;2;655;46;18;0
-14;94;-5;661;11;11;0
-10;97;5;669;32;6;0
2;97;11;689;42;11;0
0;105;-1;669;47;16;0
5;95;9;681;26;28;0
-2;84;5;620;25;11;0
-12;81;-2;618;35;16;0
12;166;3;836;29;18;0
16;144;14;840;25;25;0
5;173;13;1287;33;13;0
-10;175;-4;1271;18;16;0
-5;174;1;1299;30;14;0
-2;169;4;1273;38;9;0
57;262;69;2116;29;18;0
-12;210;-2;1633;17;12;0
-8;204;3;1645;31;17;0
1;293;11;2335;43;16;0
3;48;5;276;38;11;0
-4;46;1;306;51;10;0
